,Equivocada,Frecuencia,Sugerencia,Candidatas
955,seran,1,sera,"serna, serón, serano, sera"
956,nailsstudio,1,,
957,medirmela,1,,
958,resibirlo,4,,
959,i,2,a,"ji, fi, ti, ir, si, xi, a, hi, e, pi, in, di, mi, u, ni, bi, y, o"
960,xla,1,la,"la, ala, ola"
961,estuvimos,1,,
962,personas,6,persona,"personal, persona"
963,tuve,7,uve,"tute, uve, tule"
964,cuidarme,2,cuidar,"cuidante, cuidar"
965,parece,1,parecer,"parce, parecer"
966,ocasiones,1,ocasional,"ocasionar, ocasional"
967,enredaba,1,enredar,"enrejada, enredosa, enredar"
968,fue,15,que,"fe, ful, fuer, fu, que"
969,turnito,1,turnio,turnio
970,avísame,2,,
971,caminando,3,examinando,"examinando, caminador, laminado, caminante, caminada"
972,homa,1,hora,"home, coma, zoma, hoya, toma, moma, noma, hola, loma, horma, doma, goma, poma, hoja, soma, hora, roma, hopa"
973,necesitara,1,necesitar,"necesitar, necesitada"
974,haserme,2,,
975,oftamologo,1,oftalmólogo,oftalmólogo
976,horarios,9,horario,horario
977,hise,3,se,"lis, vide, pije, gis, hoce, hiper, hiel, ñire, hove, pisa, tiste, siseo, chiste, himen, hupe, chite, pase, dije, lisa, seise, cese, visu, biso, mis, hisca, giste, hijo, hin, chis, hoste, hila, base, tose, mese, huso, dis, piso, cis, vis, cisne, dese, riso, aire, higo, hule, riste, cipe, liso, hija, tisú, viso, chist, higa, bisel, risa, bis, mies, he, sine, fice, ese, hi, sisa, hae, home, se, fase, cine, vice, hilo, misa, tibe, lite, chile, hito, hipo, chisa, zis, hita, pie, ñipe, chisme"
978,recivirlos,1,,
979,caminatas,5,caminata,caminata
980,esperamos,1,esperador,esperador
981,unos,14,nos,"nos, uno"
982,podía,4,poda,"poda, todía"
983,gracias,1923,gracia,"tracias, gracia"
984,hacemos,2,hacedor,hacedor
985,dibietolo,1,,
986,porfabor,1,portador,"porfiador, portador"
987,arreglen,1,arreglar,"arreglo, arreglar"
988,dirigí,1,dirigir,dirigir
989,vildagliptina,1,,
990,voy,45,hoy,"voz, doy, coy, boy, vos, hoy"
991,hl,1,el,"hí, él, el, hi, ha, al, ál, he, hu"
992,vuelve,1,vuelta,"vuelta, vuelco, vulva, fuelle, nueve, guelte, vuelo, muelle, vuelto"
993,rodriguez,1,,
994,fui,28,fu,"fi, tui, ful, fuir, fu, qui"
995,glic,1,gris,"tic, lis, plica, gis, olio, gálica, güin, gálico, lid, álica, gil, sic, clin, gris, alim, clac, ali, clica, gilí, cric, galio"
996,mensajes,26,mensaje,mensaje
997,libano,2,líbano,líbano
998,vueltas,2,vuelta,vuelta
999,últim,1,último,"última, último"
1000,colores,2,color,"colorín, colorar, colorear, colorete, color, comoras, colorir, colote"
1001,llegara,1,llegar,"llegada, llegar"
1002,veo,8,vez,"ve, ver, ceo, vero, seo, velo, deo, vezo, leo, vez, feo, evo, reo, veto, neo"
1003,promociones,12,,
1004,brindan,1,brindar,brindar
1005,lapadesemos,1,,
1006,denada,2,dejada,"donada, senada, dentada, penada, dejada, dedada, cenada, tenada"
1007,secundarios,1,secundario,secundario
1008,haora,1,ahora,"hora, ahora"
1009,balanceada,1,balancear,"balancear, balanceador, palancada, lanceada, balanceadora"
1010,cómo,59,como,como
1011,muchísima,2,,
1012,sabiendo,1,sabiondo,sabiondo
1013,caps,2,caos,"capi, cas, capa, caos, capá, cap"
1014,insulinas,2,insulina,insulina
1015,faltando,1,saltado,"falcado, callando, saltado, altano, faltante"
1016,cabezera,1,cabecera,"cabecera, cabedera"
1017,teléfonos,1,teléfono,teléfono
1018,abla,1,habla,"abra, habla, fabla, tabla, bala, abia, aula, nabla, ala, alba"
1019,riñon,1,riñón,riñón
1020,echo,2,hecho,"hecho, ecuo, cho, icho, techo, eco, ocho, fecho, pecho, lecho"
1021,cambie,1,cambio,"cambio, cambia, cambil"
1022,cardiologo,1,cardiólogo,cardiólogo
1023,test,1,testa,"lest, teste, tesa, teso, testa"
1024,ocupando,1,cuando,"ocupante, cuando, ocupada, ocupador"
1025,frutas,2,fruta,"fruta, frutar, frutal"
1026,pudo,1,puto,"pudor, pufo, nudo, puro, podo, mudo, pudú, puto, puyo, puado, puño, pujo, ñudo, pudio, pedo, rudo"
1027,cuiden,1,quien,"cuido, cien, quien, crimen, leiden, cuidar, cuida, cuin"
1028,melo,1,malo,"gelo, mulo, molo, celo, mela, milo, pelo, velo, medo, memo, melgo, mero, amelo, malo, mego, lelo, meco, muelo, merlo"
1029,días,120,día,"día, dúas"
1030,comtrolando,1,,
1031,graciias,2,gracia,"gracia, tracias, graciosa"
1032,atendiendo,1,,
1033,marmoles,1,marmolejo,"marmoleña, marmoleño, marmolejo"
1034,deabetologo,1,,
1035,notificaría,1,notificar,"notificada, notificar"
1036,sale,2,vale,"salea, sala, sal, vale, sable, salep, salve, cale, salce"
1037,falleció,2,fallecido,"fallecer, fallecida, fallecido"
1038,desconozco,1,,
1039,algun,1,alguna,"algund, alguno, algún, alguna, algunt"
1040,encontré,2,encontrar,"escontra, encontrar, encontrón, enconar"
1041,subí,1,rubí,"ubí, rubí, sufí, sub"
1042,varices,1,varice,varice
1043,muchísimas,9,,
1044,condiciones,1,condicional,"condicionar, condicional"
1045,aga,1,agua,"aya, ava, jaga, paga, agá, daga, ala, agua, alga, gaga, agra, maga, saga, ata, aja, ama, ana, ara, aña, baga, zaga, vaga, asa"
1046,sabes,3,saber,"saber, sanes, sabea, sabeo, tabes"
1047,figueroa,1,figura,"miguero, miguera, foguera, figura, figurera, higuera, viguería, figueral, figurería, foguero, figurero"
1048,studio,2,estudio,estudio
1049,diabetica,6,diabética,diabética
1050,denge,1,dengue,"menge, dengue, dende"
1051,ecografia,1,cecografía,cecografía
1052,dispara,1,disparar,"disparar, disparo, dispar"
1053,gucd,1,guía,"ruca, gurdo, guaca, guaco, buco, yuca, guja, tuca, gura, tuco, ruco, sucu, auca, luco, nuco, goce, guado, guau, cuca, suco, gurda, quid, fuco, ucé, guao, cucú, gua, guro, ruc, guay, cuco, guía, guido, duc, uced, gula, sud"
1054,miercoles,2,miércoles,miércoles
1055,avisarme,1,avisar,avisar
1056,erupcióno,1,erupción,erupción
1057,yes,2,es,"res, es, bes, des, ye, yos, mes, ses, les, yeso, yen"
1058,colesterol,6,coletero,coletero
1059,naturadayer,2,,
1060,hokey,1,hoy,"home, hove, hotel, hopeo, hoce, hoy, copey"
1061,hipodromo,1,hipódromo,hipódromo
1062,pedire,1,pedir,pedir
1063,prosadia,8,prosada,"prosapia, prosodia, prosada"
1064,miran,1,mira,"mira, mirón, mirar"
1065,autorizan,1,autorizar,autorizar
1066,siquierorecibirlos,1,,
1067,controlan,2,contralar,contralar
1068,esñlican,1,,
1069,dice,7,dije,"vice, dije, doce, fice"
1070,adelgace,1,,
1071,llamame,1,llama,"llamada, llama, llamante, llamado, llamar"
1072,eperando,1,venerando,"querando, execrando, venerando, aperado, eperlano, esperanto"
1073,caras,1,cara,"caray, caraú, cras, coras, caraos, cara, carao"
1074,resien,1,presión,"resina, lesión, región, rasión, sien, sesión, cesión, recién, resisa, remiel, resigna, presión, respe, resumen"
1075,asi,9,si,"ami, tasi, ali, as, asir, así, si, psi, casi, asa, asá"
1076,bendesido,1,bendecidor,bendecidor
1077,aguanto,1,aguante,"alguanto, aguante"
1078,pañitos,1,añicos,"pasito, añicos"
1079,verlas,1,veras,veras
1080,pude,2,pudú,pudú
1081,existen,1,existir,"existir, existente"
1082,tenciometro,1,,
1083,importa,1,importar,"imposta, importe, importar"
1084,adios,1,dios,"adiós, dios"
1085,sepa,1,sopa,"sega, cepa, seta, seña, serpa, sepia, sena, sepe, seca, sopa, sera, sapa, epa, pepa, seda"
1086,deabetes,2,diabetes,diabetes
1087,sobres,1,sobre,sobre
1088,nomas,1,noma,noma
1089,hhola,1,hola,"chola, hola"
1090,atien,1,bien,"catión, ateo, afine, ación, ten, atea, anión, cien, sien, atún, tren, atán, avión, atino, antier, alier, bien, quien, aries"
1091,sigas,14,gas,"jiga, siglo, sigua, segar, sagaz, siega, higa, sita, islas, sisar, sima, singar, suyas, soga, ligar, saga, gas, signar, viga, sira, biga, sisa, sigma, sian, silga, sirga, sergas, miga, sega, signo, jijas, giga, liga, singa, silgar, migar, sigla, sirgar"
1092,sosial,1,social,"sosia, social, sosal"
1093,etc,1,et,"eta, et"
1094,disculpas,2,disculpa,"disculpa, disculpar"
1095,vildagliptin,1,,
1096,recivir,1,recibir,"revivir, recibir"
1097,serán,2,sarán,"serón, sarán"
1098,pyeden,1,yemen,yemen
1099,cuestan,1,cuesta,"cuestas, cuesta"
1100,tel,1,el,"sel, tael, tal, te, tez, el, bel, tea, del, pel, ten, tul, tela"
1101,anteojos,3,anteojo,anteojo
1102,aveces,1,creces,"alece, arecer, amecer, creces, preces"
1103,respectivos,1,respectivo,respectivo
1104,agradecería,2,agradecer,agradecer
1105,pastas,1,pasta,"pastar, pasta, patas"
1106,llamando,1,llamado,llamado
1107,gustaria,2,gustar,"gustar, guitarra, gustativa, muscaria, guaria, usuaria, austria"
1108,quiero,1783,quieto,"quier, quiebro, quieto, quijero"
1109,atiendo,5,atuendo,atuendo
1110,podria,2,podrida,"podrir, podrida"
1111,preguntaba,1,pregunta,"preguntona, pregunta, preguntar"
1112,haciendo,17,hacienda,hacienda
1113,unisex,2,unisón,unisón
1114,suspendieron,1,,
1115,servicios,3,servicio,servicio
1116,xq,14,xi,xi
1117,evita,1,evitar,"levita, evitar"
1118,uriel,1,riel,"buriel, riel, curiel"
1119,endocrinólogo,1,,
1120,sirvió,3,servir,"servil, servio, siria, servia, sirio, sirria, servir"
1121,quieren,4,quien,"quitrín, quier, querer, quien, quiete"
1122,yde,1,de,"ye, de"
1123,direcciones,2,,
1124,atodos,1,todo,"atoro, atador, acodo, atado, todo, amidos, apodo"
1125,piur,1,piar,"piure, piar"
1126,estudiaron,1,estudiar,"estudiador, estudiar"
1127,esty,4,esto,"este, esta, estay, esto"
1128,ultimo,2,último,último
1129,llegué,1,llegar,"legua, llegar, llega"
1130,llamarme,1,llamar,"llamargo, llamante, llamar"
1131,medirme,6,medir,medir
1132,aseme,1,ademe,ademe
1133,aprobacion,1,aprobación,aprobación
1134,aprox,1,arroz,"agro, paro, trox, atroz, pro, arroz, aproxis, aro, apero, agror, proa, acroy, aproar, apeo, apuro, afro, aspro, aprés, apio, apto, aron, acroe"
1135,baratos,1,barato,barato
1136,finde,1,linde,linde
1137,explicarme,1,explicar,"explicar, explicable"
1138,moverse,1,mover,"mover, movente"
1139,hacectarme,1,,
1140,podrías,1,,
1141,pastillas,2,pastilla,pastilla
1142,ok,541,o,"cok, ox, oc, oh, os, o"
1143,quero,2,quedo,"quera, quetro, fuero, quejo, suero, tuero, cuero, queso, huero, quedo"
1144,otras,3,otra,"tras, otra"
1145,comprarlas,1,,
1146,ii,1,mi,"ji, fi, ti, ir, si, xi, hi, pi, in, di, mi, ni, bi"
1147,dé,5,de,"dí, di, té, dél, do, de"
1148,hacen,5,hacer,"hacer, hacán"
1149,bienvenid,4,bienvenida,"bienvenida, bienvenido"
1150,omeno,1,ameno,"omento, ameno, omero"
1151,camina,1,camino,"casina, camia, caminar, camino, calina, ramina, canina, camena, camita, camisa, caminí"
1152,siento,9,asiento,"liento, tiento, asiento, viento, ciento"
1153,sean,1,san,"sian, san, sena, sen"
1154,edulcorante,4,,
1155,bn,1,en,"ben, an, bu, bon, en, in, un, be, bi"
1156,engordo,1,engorda,"engorda, engorde, engorro"
1157,gacias,1,hacia,"macis, aciar, dacia, tracias, gavia, guacia, napias, acial, facies, sacia, saciar, lacia, vaciar, gacha, racial, facial, macia, gavial, parias, gatas, facia, hacia, glacis, alias, glaciar, gracia, glacial"
1158,chas,1,chal,"chan, chal, cas, cras, chai, chad, cha, chus, chis"
1159,llevando,1,llegado,"llegado, elevado, llevanza, llevador, llevada"
1160,usa,2,una,"esa, ursa, uta, una, fusa, uva, usía, rusa, uña, ura, upa, osa, uso, musa, lusa, usar, asa, tusa"
1161,enpadronar,1,empadronar,empadronar
1162,dia,106,día,"dij, dis, dial, dix, din, ida, diva, día, di, dita, ria, diz, dea, dina, dúa"
1163,medicada,6,mediada,mediada
1164,apollo,1,pollo,pollo
1165,xque,1,que,"oque, que"
1166,gra,1,era,"gro, grúa, ira, gua, gea, era, ura, gira, gran, gura, grao, agra, ara, ora"
1167,maternida,1,maternidad,maternidad
1168,msjes,1,mujer,"mejer, mojel, mujer, manes, mes, maes, mies, ses, moje, dijes"
1169,vidagliptina,2,,
1170,esperando,5,esperanto,esperanto
1171,cristales,1,cristal,"cristal, cristalera"
1172,actibidad,1,actividad,actividad
1173,asen,5,aseo,"asín, sen, aseo"
1174,recibiendo,1,recibiente,recibiente
1175,interesan,2,interesar,"interesar, interesal"
1176,galletitas,2,,
1177,teniendo,3,teniente,"remiendo, tenienta, telendo, teniente"
1178,comunicarse,4,comunicar,"comunicar, comunicable, comunicante"
1179,cursos,1,curso,"curso, cursor"
1180,queremos,1,quermes,"quermes, quevedos"
1181,años,29,año,"amos, año, añas, añoso, añosa"
1182,4535_cardenas,1,,
1183,presion,2,presión,presión
1184,técnicas,4,técnica,técnica
1185,oñativia,2,,
1186,marilyn,1,maricón,"marión, maricón"
1187,emedido,1,emídido,emídido
1188,buendía,8,buena,"buena, blenda, cuenda, duenda"
1189,rompen,1,romper,romper
1190,quuero,1,quedo,"quera, bulero, uvero, quetro, cunero, susero, uñero, dulero, suero, gruero, quieto, cuero, lucero, quedo, umero, afuero, quier, yusero, cubero, hulero, fuero, yubero, quijero, bucero, huero, quiebro, buhero, humero, quejo, husero, tuero, culero, mulero, yuguero, quesero, aurero, putero, fulero, queso, jurero, cuquero, fumero"
1191,salen,1,salón,"salep, salea, salín, salón"
1192,dela,1,del,"bela, dala, delga, vela, dula, del, pela, delta, mela, debla, deca, dea, cela, deja, tela, lela, duela, delia, della, dele, deal"
1193,conozco,11,connosco,"connosco, monoico, conusco, conopeo, corozo, conoto, conuco"
1194,tenes,4,tener,"tenis, tener"
1195,padecen,1,padecer,padecer
1196,hayer,1,hacer,"hacer, ayer, haber"
1197,miss,1,mis,"mies, mis, misa"
1198,felicitó,1,felicitar,felicitar
1199,ojos,5,ojo,"ojosa, ojo, ojoso"
1200,laborales,1,laboral,"laborable, laboral"
1201,_catálogo_,1,catálogo,catálogo
1202,consegar,1,consegrar,"consejar, consegrar"
1203,termina,1,terminar,"terminar, terrina, terpina, terminal, termita"
1204,celíaca,1,celiaca,celiaca
1205,preocupes,1,preocupar,preocupar
1206,mandemen,1,,
1207,sapatos,1,zapato,zapato
1208,darme,1,adarme,"adarme, carme"
1209,mido,8,miedo,"mio, mico, mino, mudo, modo, mida, mito, fido, miedo, nido, medo, mimo, mijo, milo, mizo"
1210,avisa,1,aviso,"avica, avispa, aviesa, avisar, aviso"
1211,responderme,1,responder,responder
1212,tengamos,1,,
1213,solomante,1,solamente,"sollozante, sofocante, colorante, solamente"
1214,sucar,1,sacar,"sumar, surcar, cucar, sacar, rucar, secar, sulcar, sudar"
1215,now,1,no,"nos, noé, no, non"
1216,podemos,47,poderoso,"poderosa, poderoso"
1217,num,1,pum,"pum, hum, numo"
1218,marinado,1,marginado,"harinado, marginado"
1219,prefiero,1,prefijo,"prensero, prefijo, grefier, pretinero, prendero, presero"
1220,colite,1,colote,colote
1221,luchando,1,luchador,"luchador, lucano"
1222,sitengo,1,bitango,"sirenio, seteno, silingo, bitango, bitongo"
1223,cubre,2,cobre,"cumbre, cutre, ubre, cobre"
1224,derivan,1,deriva,"deriva, derivar"
1225,ugencia,1,agencia,"agencia, ucencia, usencia, urgencia"
1226,juguetes,1,juguete,"juguete, jugueteo"
1227,edea,1,idea,"edema, enea, exea, idea, dea"
1228,estés,1,estas,"estos, estas"
1229,hombros,1,hombro,hombro
1230,regimen,1,régimen,régimen
1231,clases,2,clase,clase
1232,señoras,1,señora,señora
1233,marchetti,1,,
1234,union,1,unión,unión
1235,controle,2,contable,"cotrofe, contable"
1236,valery,1,valer,valer
1237,puedes,1,pues,"pues, jueves, puches, pubes, preces"
1238,metas,4,meta,"metal, meta, metad"
1239,formas,2,forma,"formar, formal, forma, foras"
1240,cortes,1,corte,"cortés, corte"
1241,apreté,2,apretar,"apretar, arete, apretón, agreta, apreso, agrete, apresto, apresa, aprieto"
1242,nomaa,1,noma,noma
1243,envié,1,enviar,"envido, envés, enviso, envisa, enviar, envite, encia, envión, envío"
1244,met,2,me,"et, me, meta, mes, mea"
1245,asuncion,1,asunción,asunción
1246,deshidratas,1,deshidratar,deshidratar
1247,graciass,1,gracioso,"tracias, graciada, graciosa, gracioso, gracia, graciado"
1248,efermedades,1,,
1249,kiero,10,fiero,"hiero, fiero"
1250,benificio,1,beneficio,beneficio
1251,pensando,1,pensado,pensado
1252,nl,1,no,"él, no, ne, na, el, ny, al, ál, ni"
1253,peluqueria,2,peluquería,"peluquera, peluquería"
1254,braki,1,brazo,"braga, bracio, braco, braca, bracil, braña, irak, brasa, brazo, brava, braza, bramo, brasil, brama, bravo"
1255,miguel,1,igual,"miguero, maguer, miguera, maguey, igual, meguez, miel, rigel"
1256,njkhsaacxopguoez,1,,
1257,buenos,118,bueno,bueno
1258,domingos,1,domingo,domingo
1259,qurugih,2,,
1260,realizarlo,1,realizar,"realizar, realizable"
1261,padeció,1,padecer,padecer
1262,qe,5,que,"ve, ne, que, re, te, ge, se, ce, le, ye, me, e, be, he, fe, pe, de"
1263,practica,1,práctica,"practicar, práctica"
1264,compu,1,como,"corpus, copé, pompo, combo, coipo, campa, como, comta, comal, zompo, campo, comba, comto, compto, pompa, cimpa, coma, comer, colpa, compón, cospe, compás, zompa, corps, copa, cope, copo, común, colpe, com, corpa, compra"
1265,universitarios,1,universitario,universitario
1266,atrocis,1,atrofia,"atrofia, trocir, aproxis"
1267,niñas,1,niña,niña
1268,quiere,2,quier,"quier, quiete"
1269,maquillaje,1,,
1270,remedios,25,remedio,remedio
1271,avisaron,1,avisar,"avisador, avisar, avisado"
1272,recordármelo,1,,
1273,elegirnos,2,elegiano,elegiano
1274,escribo,2,escrito,"escriño, estribo, escriba, escrito"
1275,llegará,1,llegar,llegar
1276,resetara,1,respetar,"restar, reseñar, pesetera, restada, respetar, recetar, resegar, resecar"
1277,recientes,1,reciente,reciente
1278,tendría,3,tenería,tenería
1279,hago,53,pago,"sago, hato, hamo, halo, hao, gago, lago, mago, pago, bago, higo, havo, hayo, hado, vago"
1280,saberlo,1,saber,"baberol, salero, saboreo, saber, sabela, cabello, sabeo, babero, sabejo, haberío, cabero"
1281,interes,1,interés,"interés, interese"
1282,indico,1,indio,"indio, indino, índico, indicio"
1283,analice,1,,
1284,td,1,te,"ti, te, tu, tú, té, ad, ta, to"
1285,resfrios,1,resfrío,"resfriar, resfrío"
1286,ví,1,sí,"ve, hí, vía, mí, dí, sí"
1287,controlado,2,contornado,contornado
1288,necesitndo,1,necesitado,necesitado
1289,estebias,1,esteba,"estibia, esteba, estebar"
1290,den,4,de,"ben, de, deán, don, dey, din, ren, len, en, des, nen, deo, sen, gen, del, ten, dea, yen"
1291,dietetico,1,dietético,dietético
1292,chinba,1,china,"chinga, chimba, chinda, china"
1293,programarme,1,,
1294,dejanos,2,dejado,"degano, decano, lejano, tejano, dejado, dejador"
1295,enfermeda,1,enfermedad,"enfermedad, enfermera"
1296,mitiendanube,1,,
1297,pasó,2,pasa,"pase, posó, pasa, paso"
1298,agarra,2,agarrar,"agarro, agarrar, garra, amarra"
1299,retirarlos,2,,
1300,alimentacion,1,alimentación,alimentación
1301,glucemix,1,glucemia,glucemia
1302,sanación,1,sanción,sanción
1303,mendoza,1,mendosa,mendosa
1304,algunas,1,alguna,alguna
1305,comenzaremos,1,,
1306,pedirle,1,pedir,pedir
1307,come,1,como,"home, coma, cope, cole, comer, coce, tome, nome, como, com, coime"
1308,ire,1,ir,"ere, ira, ir, re, pre, aire, ñire"
1309,alcansa,1,alcana,alcana
1310,grasia,14,gracia,"grasa, gracia"
1311,micro,2,mico,"mico, micra, micho"
1312,pericura,1,pedicura,pedicura
1313,ecodople,1,,
1314,alfonso,1,alonso,"alonso, alfonsí"
1315,h,1,a,"hí, hu, hi, eh, a, oh, ha, e, ah, u, he, y, o"
1316,solucionen,3,solucionar,solucionar
1317,haacerme,1,,
1318,pertenesco,1,,
1319,bandemecun,1,,
1320,brasos,1,brazo,"brios, brasil, basis, bravoso, baso, braco, grasosa, brazo, bravosa, craso, bramo, graso, bravo, grasor, brasar, grasoso, brasca, brasa, bajos, frasis, raso, bruzos"
1321,dapaglifozina,1,,
1322,controlar,8,contralar,contralar
1323,jujuy,15,cucuy,"jujeo, cucuy"
1324,dedico,2,medio,"desdicho, médico, seico, búdico, delicto, deífico, dioico, sódico, redicho, delio, dórico, darico, dedil, dedicar, dedeo, dídimo, besico, cedicio, edicto, derivo, púdico, índico, pedido, delicio, desiño, perico, dedillo, medio, sádico, tedio, pedicoj, delito, dedo, dánico, cedizo, devino, debido, módico"
1325,centros,1,centro,"centro, centris"
1326,pagina,1,página,"paginar, página, pagana, vagina"
1327,acer,7,hacer,"acera, jacer, hacer, afer, nacer, acre, caer, yacer, ayer, acero, pacer, facer"
1328,usó,1,uso,uso
1329,demas,2,demás,"demias, demás"
1330,conosco,3,connosco,"connosco, conusco"
1331,pone,2,poner,"poner, pope, pane, pote, pene"
1332,cantoni,4,canto,"cantonal, canto, cantón, mantona, cantonar, santona, cantor, cantoso, cantora, canon, cantosa, cantoneo, cancona, cantina"
1333,makihuan,1,,
1334,ban,1,tan,"ben, pan, kan, an, man, tan, bao, bar, bon, can, san, bah"
1335,hicieron,8,hibierno,hibierno
1336,enviaron,1,enviar,"enviar, enviado"
1337,estoy,171,esto,"esto, estol, estay, estos"
1338,duran,1,dura,"dura, durar"
1339,ibuprofeno,1,,
1340,nació,1,nación,nación
1341,tenemos,3,tenedor,"tenesmo, tenedor"
1342,contraten,1,contrato,"contraste, contratar, contratela, contraer, contrato, contrata, contrarea"
1343,guia,2,guía,"guja, gubia, gura, guiar, gua, guisa, guifa, guía, guita, gula, guija, quia"
1344,controlando,2,contrabando,contrabando
1345,g,5,a,"ge, a, e, u, y, o"
1346,anoto,1,noto,"anito, onoto, noto, aneto"
1347,viy,1,vil,"vil, vid, vis"
1348,conozcas,1,,
1349,tenga,6,tenia,"tonga, tena, tenia, tenua, tenca, renga, tanga, tensa, menga"
1350,bendiga,7,bendita,"bendita, mendiga"
1351,siguieron,1,,
1352,veces,10,veras,"veer, deceso, recel, vice, ceres, creces, velis, veras, seceso, vejez, vecera, ceceo, buces, mecer, receso, venus, sece, vecero, vencer, preces, pece"
1353,day,2,dar,"doy, dey, cay, lay, ay, dar"
1354,preocuparse,2,preocupar,preocupar
1355,luny,2,luna,luna
1356,hubiese,1,nubiense,nubiense
1357,toy,1,hoy,"doy, coy, tos, boy, ton, top, hoy, toa, to"
1358,fegologo,1,,
1359,ehh,1,eh,eh
1360,alcanza,5,alcanzar,"alianza, alcana, alcanzar"
1361,hagan,3,haya,"magín, pagana, jaga, paga, habana, zagal, harén, daga, sagaz, hayal, harón, higa, lagar, habón, hala, hadar, hada, haba, gaga, havar, pagano, haya, vagón, halón, magna, hacán, hasaní, cagón, maga, magar, bagar, saga, hogar, sapan, pagar, haza, vagar, halar, dagón, baga, cagar, zaga, vaga, haca, hazana, habar, habano"
1362,lu,2,la,"su, ñu, luz, la, bu, mu, tu, cu, le, pu, lo, u, fu, hu"
1363,necesito,29,necesitar,"necesitado, necesitar"
1364,operan,1,operar,operar
1365,productos,4,producto,"producto, productor"
1366,zbwkwl,14,,
1367,había,2,habla,"habla, haba"
1368,toman,1,tomar,"tomín, toma, tomar, tomón"
1369,voi,2,voz,"voz, vos"
1370,visité,1,visita,visita
1371,intentarlo,1,intentar,"inventario, intentar"
1372,analises,1,análisis,"analista, análisis"
1373,sali,2,salir,"salia, sala, sal, salio, cali, ali, salir, pali"
1374,monton,1,montón,"montón, monto"
1375,lástimado,1,lástima,"lastimador, lástima, estimado"
1376,concentimientp,1,consentimiento,consentimiento
1377,diabetis,3,diabetes,diabetes
1378,éso,1,eso,"eso, oso, uso, so"
1379,sentirme,1,sentir,"sentir, sentible"
1380,inchan,1,ancha,"finchar, inca, cinchón, chan, anchar, inclín, linchar, pinchón, cincha, ancha, pinchar, vincha, cinchar, hincha, hinchar, pincha, ichal, incoar"
1381,asecto,1,aspecto,"asecho, aspecto, afecto, aserto"
1382,nutrisionista,2,,
1383,alimentos,2,alimento,"alimentosa, alimentoso, alimento"
1384,autodromo,1,,
1385,ches,1,che,"cheso, chesa, che, chus, chis"
1386,nicolao,1,nigola,"picola, nigola"
1387,llamo,6,llama,"álamo, llama, clamo, llano"
1388,ďecime,1,,
1389,disculpe,7,disculpa,disculpa
1390,msj,20,es,"mio, mal, as, boj, mío, oso, psi, mía, eso, musa, my, mojo, moje, misa, su, esa, mojí, mu, mur, man, si, muy, mí, mese, asá, majo, mus, mol, mil, es, mea, ese, mas, masa, osa, mar, mes, os, majá, mis, más, dij, moa, aj, así, se, miz, maja, me, asa, muz, so, uso, mor, mi, mué, mesa, mijo, sí"
1391,saludables,5,saludable,saludable
1392,saludó,2,salud,"salud, saludo"
1393,especialistas,1,especialista,especialista
1394,síntomas,3,síntoma,síntoma
1395,escribirme,1,escribir,escribir
1396,tiras,8,tras,"tira, tras, tirar"
1397,encantaría,5,encantada,"encantada, encantarar, encantar"
1398,diabétis,1,diabetes,"diabético, diabetes, diabética, dabitis"
1399,ustds,1,usted,"uste, estas, usted, estos, sutás, usado, usada"
1400,hracias,1,tracias,tracias
1401,quiso,1,queso,"quilo, quipo, quimo, quisco, guiso, quijo, quisa, quito, queso, quino, quisto"
1402,perdon,10,perdón,perdón
1403,podrán,3,podre,"podre, padrón, aldrán, porrón, podón, podrir, corán, jordán"
1404,sisi,9,sisa,sisa
1405,uiero,1,fiero,"uvero, fiero, uñero, hiero, umero"
1406,recibirlo,30,recibir,recibir
1407,sanarme,1,sangre,"sanar, manare, adarme, sanable, sangre"
1408,llendo,1,lleno,lleno
1409,necesitaba,1,necesitada,necesitada
1410,asisto,1,visto,"pasito, aposto, asuso, arista, gasista, atiesto, apasto, adicto, asto, visto, listo, agosto, sito, asirio, aoristo, anito, siseo, sismo, asiento, sistro, adusto, asalto, asiano, asunto, aviso, misto, asilo, apito, asiduo, amito, astuto, quisto, aserto, asisia, pisto, abasto, atisbo, susto, aliso, abiso, abismo, asistir, cristo, asbesto, arisco, asueto"
1411,avon,1,aron,"avo, aron, avol"
1412,cuál,9,cual,cual
1413,quisieron,4,,
1414,deseos,2,deseo,"deseoso, deseosa, deseo"
1415,chicas,1,chica,chica
1416,igshid,15,,
1417,disculpá,1,disculpa,disculpa
1418,demaciado,1,demasiado,"demacrado, demasiado"
1419,leido,2,leído,"leído, laido, leudo, lerdo, ledo"
1420,estamos,23,estados,estados
1421,protege,1,proteger,proteger
1422,vine,4,vino,"vide, sine, vice, vino, cine"
1423,lá,1,la,"la, le, ál, lo, alá"
1424,ayudarte,40,ayudante,ayudante
1425,faltaron,1,faltar,"saltarén, faltar, saltarín"
1426,octubrw,1,octubre,octubre
1427,mibextid,14,,
1428,comense,1,forense,"comento, comiente, forense, focense, remense, comensal"
1429,inchadas,1,hinchada,"finchada, hinchada"
1430,realizaron,1,realizar,realizar
1431,llenó,1,lleno,"lleno, llena"
1432,alla,1,ella,"calla, ella, alea, allí, aloa, alfa, ala, falla, alba, alga, aula, alma, malla, alúa, alta, valla, alna, galla, talla, olla, allá, dalla, alza"
1433,deseas,3,desear,desear
