,id_participante,id_mensaje,enviado,tipo,subtipo,recibido,clase,recibido_limpio,recibido_corregido,recibido_corregido_sin_emoticones,recibido_corregido_significado_emoticones,recibido_corregido_significado_emoticones_sin_tildes,recibido_corregido_significado_emoticones_sin_stop_words,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words,recibido_corregido_significado_emoticones_sin_stop_words_lematizada,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words_lematizada,recibido_corregido_significado_emoticones_sin_stop_words_stemetizada,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words_stemetizada
2507,791,2579,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2508,792,2580,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2509,793,2581,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2510,794,2582,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,Buen día  Gracias por hacectarme  tienen MI concentimientp,optin,buen día gracias por hacectarme tienen mi concentimientp,buen día gracias por hacectarme tienen mi concentimientp,buen día gracias por hacectarme tienen mi concentimientp,buen día gracias por hacectarme tienen mi concentimientp,buen dia gracias por hacectarme tienen mi concentimientp,buen día gracias hacectarme concentimientp,buen dia gracias hacectarme concentimientp,buen día gracias hacectar yo concentimientp,buen dia gracias hacectar yo concentimientp,buen dia graci hacect concentimientp,buen dia graci hacect concentimientp
2511,794,2583,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,Gracias,optin,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,graci,graci
2512,794,2584, Consulta con tu médico para chequear tus niveles de azúcar en sangre. ¡El diagnóstico se hace con un análisis muy simple! Aconsejale también a tus familiares que se midan el azucar.,educativo,glicemia,Gracias,agradecimiento,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,graci,graci
2513,795,2585,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2514,795,2586,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Gracias,agradecimiento,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,graci,graci
2515,796,2587, La actividad física realizada regularmente durante el embarazo puede ayudarte a controlar los niveles de azúcar en sangre. Preguntale al equipo de salud qué tipo de actividad física podés hacer.,educativo,,"Hola! Cómo estás? *[nombre]* te saluda! 💜
_Bienvenidx a este encuentro y, desde ya, un gusto que me hayas contactado!_ ✨
Te invito a que veas mi _catálogo_, allí vas a encontrar todos mis servicios con sus respectivos precios. *Hay combos y sesiones con descuentos!* 🔥
También quiero invitarte a que me conozcas en mi perfil de ```Instagram``` y me ayudes siguiendo y recomendando la página, así crece esta linda comunidad! 💫
*https://instagram.com/morenamagica?igshid=YmMyMTA2M2Y=*",autorespuesta,hola cómo estás nombre te saluda 💜 _bienvenidx a este encuentro y desde ya un gusto que me hayas contactado _ ✨ te invito a que veas mi _catálogo_ allí vas a encontrar todos mis servicios con sus respectivos precios hay combos y sesiones con descuentos 🔥 también quiero invitarte a que me conozcas en mi perfil de instagram y me ayudes siguiendo y recomendando la página así crece esta linda comunidad 💫 https instagram com morenamagica igshid ymmymta 2 m 2 y ,hola cómo estás nombre te saluda 💜 _bienvenidx a este encuentro y desde ya un gusto que me hayas contactado _ ✨ te invito a que veas mi _catálogo_ allí vas a encontrar todos mis servicios con sus respectivos precios hay combos y sesiones con descuentos 🔥 también quiero invitarte a que me conozcas en mi perfil de instagram y me ayudes siguiendo y recomendando la página así crece esta linda comunidad 💫 https instagram com morenamagica igshid ymmymta 2 m 2 y ,hola cómo estás nombre te saluda  em_corazón_morado  _bienvenidx a este encuentro y desde ya un gusto que me hayas contactado _  em_chispas  te invito a que veas mi _catálogo_ allí vas a encontrar todos mis servicios con sus respectivos precios hay combos y sesiones con descuentos  em_fuego  también quiero invitarte a que me conozcas en mi perfil de instagram y me ayudes siguiendo y recomendando la página así crece esta linda comunidad  em_símbolo_de_mareo  https instagram com morenamagica igshid ymmymta 2 m 2 y ,hola cómo estás nombre te saluda _bienvenidx a este encuentro y desde ya un gusto que me hayas contactado _ te invito a que veas mi _catálogo_ allí vas a encontrar todos mis servicios con sus respectivos precios hay combos y sesiones con descuentos también quiero invitarte a que me conozcas en mi perfil de instagram y me ayudes siguiendo y recomendando la página así crece esta linda comunidad https instagram com morenamagica igshid ymmymta 2 m 2 y,hola como estas nombre te saluda _bienvenidx a este encuentro y desde ya un gusto que me hayas contactado _ te invito a que veas mi _catalogo_ alli vas a encontrar todos mis servicios con sus respectivos precios hay combos y sesiones con descuentos tambien quiero invitarte a que me conozcas en mi perfil de instagram y me ayudes siguiendo y recomendando la pagina asi crece esta linda comunidad https instagram com morenamagica igshid ymmymta 2 m 2 y,hola cómo nombre saluda _bienvenidx encuentro ya gusto contactado _ invito veas _catálogo_ allí vas encontrar servicios respectivos precios hay combos sesiones descuentos quiero invitarte conozcas perfil instagram ayudes siguiendo recomendando página así crece linda comunidad https instagram com morenamagica igshid ymmymta 2 m 2,hola nombre saluda _bienvenidx encuentro ya gusto contactado _ invito veas _catalogo_ alli vas encontrar servicios respectivos precios hay combos sesiones descuentos tambien quiero invitarte conozcas perfil instagram ayudes siguiendo recomendando pagina asi crece linda comunidad https instagram com morenamagica igshid ymmymta 2 m 2,holar cómo nombre saludo _ bienvenidx encuentro ya gusto contactado _ invito vea _ catálogo _ allí ir encontrar servicio respectivo precio haber combo sesión descuento querer invitarte conozca perfil instagram ayud seguir recomendar página así crecer lindo comunidad https instagram com morenamagico igshid ymmymta 2 m 2,holar nombre saludo _ bienvenidx encuentro ya gusto contactado _ invito vea _ catalogo _ alli vas encontrar servicio respectivo precio haber combo sesión descuento tambien querer invitarte conozca perfil instagram ayud seguir recomendar pagina asi crecer lindo comunidad https instagram com morenamagico igshid ymmymta 2 m 2,hol com nombr salud _bienvenidx encuentr ya gust contact _ invit veas _catalogo_ alli vas encontr servici respect preci hay comb sesion descuent quier invitart conozc perfil instagram ayud sigu recomend pagin asi crec lind comun https instagram com morenamag igshid ymmymta 2 m 2,hol nombr salud _bienvenidx encuentr ya gust contact _ invit veas _catalogo_ alli vas encontr servici respect preci hay comb sesion descuent tambi quier invitart conozc perfil instagram ayud sigu recomend pagin asi crec lind comun https instagram com morenamag igshid ymmymta 2 m 2
2516,796,2588, La actividad física realizada regularmente durante el embarazo puede ayudarte a controlar los niveles de azúcar en sangre. Preguntale al equipo de salud qué tipo de actividad física podés hacer.,educativo,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2517,797,2589,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,Si,optin,si,si,si,si,si,si,si,si,si,si,si
2518,797,2590,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2519,797,2591, ¿Sabías que la DIABETES es una enfermedad que se puede prevenir?,educativo,,No,respuesta a consejo o pregunta,no,no,no,no,no,no,no,no,no,no,no
2520,798,2592,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2521,799,2593,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2522,800,2594,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2523,800,2595,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,👍🏻,optin,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
2524,800,2596, ¿Sabías que los medicamentos para la DIABETES y la insulina se entregan gratis para las personas que no tienen obra social?,educativo,,Hola no sabia,respuesta a consejo o pregunta,hola no sabia,hola no sabia,hola no sabia,hola no sabia,hola no sabia,hola no sabia,hola no sabia,hola no sabio,hola no sabio,hol no sabi,hol no sabi
2525,801,2597,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2526,801,2598,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,si quiero,optin,si quiero,sí quiero,sí quiero,sí quiero,si quiero,sí quiero,si quiero,sí querer,si querer,si quier,si quier
2527,802,2599,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2528,802,2600, Consulta con tu médico para chequear tus niveles de azúcar en sangre. ¡El diagnóstico se hace con un análisis muy simple! Aconsejale también a tus familiares que se midan el azucar.,educativo,glicemia,😉🫡,agradecimiento,😉🫡,😉🫡, em_cara_guiñando_el_ojo  em_cara_saludando ,,,,,,,,
2529,803,2601,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2530,804,2602,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2531,804,2603, ¿Sabías que la DIABETES es una enfermedad que se puede prevenir?,educativo,,Si sabia,respuesta a consejo o pregunta,si sabia,si sabia,si sabia,si sabia,si sabia,si sabia,si sabia,si sabiar,si sabiar,si sabi,si sabi
2532,805,2604,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2533,805,2605," Las metas son algo que deseamos, planeamos y nos comprometemos a hacer. Es importante pensar nuestras metas antes de pensar un cambio de hábito. ¿Pensaste alguna vez en qué metas querés cumplir?",educativo,,Hoy es mi salud... mi meta es bajar de peso,respuesta a consejo o pregunta,hoy es mi salud mi meta es bajar de peso,hoy es mi salud mi meta es bajar de peso,hoy es mi salud mi meta es bajar de peso,hoy es mi salud mi meta es bajar de peso,hoy es mi salud mi meta es bajar de peso,hoy salud meta bajar peso,hoy salud meta bajar peso,hoy salud meto bajar peso,hoy salud meto bajar peso,hoy salud met baj pes,hoy salud met baj pes
2534,806,2606,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2535,806,2607, La prediabetes se puede corregir y con esto evitar la aparición de la diabetes. Para ello podemos revisar nuestros hábitos y buscar las opciones más saludables.,educativo,,Hola,saludo,hola,hola,hola,hola,hola,hola,hola,holar,holar,hol,hol
2536,807,2608,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Si quiero recubirlos,respuesta a consejo o pregunta,si quiero recubirlos,sí quiero recubirlos,sí quiero recubirlos,sí quiero recubirlos,si quiero recubirlos,sí quiero recubirlos,si quiero recubirlos,sí querer recubir él,si querer recubir él,si quier recub,si quier recub
2537,807,2609,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2538,808,2610,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,Sí quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2539,809,2611,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,Si,optin,si,si,si,si,si,si,si,si,si,si,si
2540,810,2612,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2541,810,2613,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,Hola te quería aser una consulta hoy no me vio el doctor garai me vine porque me dolía mucho la cabeza y estaba mareada yo no estoy medicada yo me ise unos análisis y me salió el azúcar a 396 por eso es que fui hoy,respuesta a consejo o pregunta,hola te quería aser una consulta hoy no me vio el doctor garai me vine porque me dolía mucho la cabeza y estaba mareada yo no estoy medicada yo me ise unos análisis y me salió el azúcar a 396 por eso es que fui hoy,hola te quería hacer una consulta hoy no me vio el doctor garai me vine porque me dolía mucho la cabeza y estaba mareada yo no estoy medicada yo me hice unos análisis y me salió el azúcar a 396 por eso es que fui hoy,hola te quería hacer una consulta hoy no me vio el doctor garai me vine porque me dolía mucho la cabeza y estaba mareada yo no estoy medicada yo me hice unos análisis y me salió el azúcar a 396 por eso es que fui hoy,hola te quería hacer una consulta hoy no me vio el doctor garai me vine porque me dolía mucho la cabeza y estaba mareada yo no estoy medicada yo me hice unos análisis y me salió el azúcar a 396 por eso es que fui hoy,hola te queria hacer una consulta hoy no me vio el doctor garai me vine porque me dolia mucho la cabeza y estaba mareada yo no estoy medicada yo me hice unos analisis y me salio el azucar a 396 por eso es que fui hoy,hola quería hacer consulta hoy no vio doctor garai vine dolía cabeza mareada no medicada hice análisis salió azúcar 396 fui hoy,hola queria hacer consulta hoy no vio doctor garai vine dolia cabeza mareada no medicada hice analisis salio azucar 396 fui hoy,holar querer hacer consulta hoy no ver doctor garai vine doler cabezo mareado no medicado hacer análisis salir azúcar 396 ir hoy,holar querio hacer consulta hoy no ver doctor garai vine dolia cabeza mareado no medicado hacer analisis salio azucar 396 ir hoy,hol quer hac consult hoy no vio doctor garai vin dol cabez mar no medic hic analisis sal azuc 396 fui hoy,hol queri hac consult hoy no vio doctor garai vin doli cabez mar no medic hic analisis sali azuc 396 fui hoy
2542,810,2614,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,Yo paro sola todo el día y hoy fui porque iva mi nuera y me mareo mucho   y la cabeza no aguanto ya veo cuando puedo ir al médico,respuesta a consejo o pregunta,yo paro sola todo el día y hoy fui porque iva mi nuera y me mareo mucho y la cabeza no aguanto ya veo cuando puedo ir al médico,yo paro sola todo el día y hoy fui porque iva mi nuera y me mareo mucho y la cabeza no aguanto ya veo cuando puedo ir al médico,yo paro sola todo el día y hoy fui porque iva mi nuera y me mareo mucho y la cabeza no aguanto ya veo cuando puedo ir al médico,yo paro sola todo el día y hoy fui porque iva mi nuera y me mareo mucho y la cabeza no aguanto ya veo cuando puedo ir al médico,yo paro sola todo el dia y hoy fui porque iva mi nuera y me mareo mucho y la cabeza no aguanto ya veo cuando puedo ir al medico,paro sola día hoy fui iva nuera mareo cabeza no aguanto ya veo cuando puedo ir médico,paro sola dia hoy fui iva nuera mareo cabeza no aguanto ya veo cuando puedo ir medico,paro solo día hoy ir ivo nuera mareo cabeza no aguantar ya ver cuando poder ir médico,paro solo diar hoy ir ivo nuera mareo cabeza no aguantar ya ver cuando poder ir medico,par sol dia hoy fui iva nuer mare cabez no aguant ya veo cuand pued ir medic,par sol dia hoy fui iva nuer mare cabez no aguant ya veo cuand pued ir medic
2543,811,2615,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2544,811,2616, La DIABETES es una enfermedad que dura toda la vida (crónica). La falta de insulina o la dificultad para utilizarla hace que el azúcar de los alimentos aumente y se acumule en la sangre (azúcar alta en sangre).,educativo,,Si,respuesta a consejo o pregunta,si,si,si,si,si,si,si,si,si,si,si
2545,811,2617, La DIABETES es una enfermedad que dura toda la vida (crónica). La falta de insulina o la dificultad para utilizarla hace que el azúcar de los alimentos aumente y se acumule en la sangre (azúcar alta en sangre).,educativo,,Si,respuesta a consejo o pregunta,si,si,si,si,si,si,si,si,si,si,si
2546,812,2618,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,Si,optin,si,si,si,si,si,si,si,si,si,si,si
2547,812,2619,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,Bueno,optin,bueno,bueno,bueno,bueno,bueno,bueno,bueno,bueno,bueno,buen,buen
2548,813,2620,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2549,813,2621, ¿Sabías que la DIABETES es una enfermedad que se puede prevenir?,educativo,,"Hola, si sabía",respuesta a consejo o pregunta,hola si sabía,hola si sabía,hola si sabía,hola si sabía,hola si sabia,hola si sabía,hola si sabia,holar si saber,holar si sabia,hol si sab,hol si sabi
2550,814,2622,"Te damos la bienvenida al programa de prevención de la diabetes en el embarazo. Son muy importantes los cuidados y controles durante el embarazo, tanto si ya fuiste mamá como si esperás a tu primer bebé. Todas las semanas te vamos a acompañar con mensajes con información importante sobre alimentación saludable y cuidados para vos y tu bebé que pueden ayudarte a prevenir la diabetes del embarazo. Ante cualquier duda o consulta, podés concurrir al centro de salud donde realices los controles de tu embarazo. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.",bienvenida,,"Hola, gracias",agradecimiento,hola gracias,hola gracias,hola gracias,hola gracias,hola gracias,hola gracias,hola gracias,holar gracia,holar gracia,hol graci,hol graci
2551,814,2623, ¿Sabías que los controles durante tu embarazo son fundamentales para el desarrollo del bebé y detectar y prevenir complicaciones? Un control importante en este trimestre es el análisis para detectar si tenés diabetes del embarazo. ¿Vos ya te lo hiciste?,educativo,,Si,respuesta a consejo o pregunta,si,si,si,si,si,si,si,si,si,si,si
2552,815,2624, ¿Sabías que la DIABETES es una enfermedad que se puede prevenir?,educativo,,"Si, me imagino que con alimentación saludable y ejercicio",respuesta a consejo o pregunta,si me imagino que con alimentación saludable y ejercicio,si me imagino que con alimentación saludable y ejercicio,si me imagino que con alimentación saludable y ejercicio,si me imagino que con alimentación saludable y ejercicio,si me imagino que con alimentacion saludable y ejercicio,si imagino alimentación saludable ejercicio,si imagino alimentacion saludable ejercicio,si imagino alimentación saludable ejercicio,si imagino alimentacion saludable ejercicio,si imagin aliment salud ejercici,si imagin aliment salud ejercici
2553,816,2625,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,Hola gracias,optin,hola gracias,hola gracias,hola gracias,hola gracias,hola gracias,hola gracias,hola gracias,holar gracia,holar gracia,hol graci,hol graci
2554,816,2626,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,Si,optin,si,si,si,si,si,si,si,si,si,si,si
2555,816,2627,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2556,816,2628," ¿Durante el día comés un pedacito de queso o una galletita fuera de hora? Mientras cocinas, ¿comés un poquito de lo que haya? ¡Eso se llama picoteo y puede hacernos subir de peso!",educativo,,Hola,saludo,hola,hola,hola,hola,hola,hola,hola,holar,holar,hol,hol
2557,816,2629," ¿Durante el día comés un pedacito de queso o una galletita fuera de hora? Mientras cocinas, ¿comés un poquito de lo que haya? ¡Eso se llama picoteo y puede hacernos subir de peso!",educativo,,Una consulta,pregunta,una consulta,una consulta,una consulta,una consulta,una consulta,consulta,consulta,consulta,consulta,consult,consult
